index	headword	pos	definition	notes:bookkeeping	Transcription:Armenian	Transcription	UR	Declension class	Verb Regularity	Regular category	Subclass	Class number
3586	աննմանոտն	adjective	Anomaliped.		աննըմանոտըն	ɑ n n ə m ɑ n ó d ə n	Pան+Rնման+Rոտն	Adjective				
3696	անոտն	adjective	Footless, apodal.		անոտըն	ɑ n ó d ə n	Pան+Rոտն	Adjective				
5737	արագոտն	adjective	Quick-footed, nimble, brisk, that walks quick.		արագոտըն	ɑ ɾ ɑ k ó d ə n	Rարագ+Rոտն	Adjective				
7412	բազրոտն	noun	Step of staircase.		բազրոտըն	p ɑ z ɾ ó d ə n	Rբազր+Rոտն	regular?				
8096	բարիոտն	adjective	Lucky-footed.		բարիվոտըն	p ɑ ɾ i v ó d ə n	Rբարի+Rոտն	Adjective				
8867	բոկոտն	adjective	Barefoot, barefooted.		բոկոտըն	p o ɡ ó d ə n	Rբոկ+Rոտն	Adjective				
9514	գայլոտն	noun	Lycopodium.		գայլոտըն	k ɑ j l ó d ə n	Rգայլ+Rոտն	regular?				
13373	ենթոտն	noun	Hypopus.		ենթոտըն	j e n t ó d ə n	Rենթ+Rոտն	regular?				
13591	երագոտն	noun	 (մջտ.) Ocypode.		երագոտըն	j e ɾ ɑ k ó d ə n	Rերագ+Rոտն	regular?				
13592	երագոտն	adjective	 (մջտ.) brisk, nimble.		երագոտըն	j e ɾ ɑ k ó d ə n	Rերագ+Rոտն	Adjective				
14247	երկարոտն	noun	Seriema, crested screamer.		երկարոտըն	j e ɾ ɡ ɑ ɾ ó d ə n	Rերկար+Rոտն	regular?				
14465	երկոտն	noun	Diplopod.		երկոտըն	j e ɾ ɡ ó d ə n	Rերկ+Rոտն	regular?				
15760	զուգահեռոտն	noun	Parallel piped.		զուգահեռոտըն	z u k ɑ h e ɾ ó d ə n	Rզույգ-ա+Rհեռ+Rոտն	regular?				
15827	զուգոտն	adjective	Isopodous.		զուգոտըն	z u k ó d ə n	Rզույգ+Rոտն	Adjective				
16951	թաղանթոտն	noun	Palmiped.		թաղանթոտըն	t ɑ ʁ ɑ n t ó d ə n	Rթաղանթ+Rոտն	regular?				
17086	թանձրոտն	adjective	Dasypodine.		թանձրոտըն	t ɑ n t͡s ɾ ó d ə n	Rթանձր+Rոտն	Adjective				
17380	թեթեւոտն	adjective	Light-footed.		թեթեվոտըն	t e t e v ó d ə n	Rթեթեվ+Rոտն	Adjective				
17611	թեւոտն	noun	Pteropod.		թեվոտըն	t e v ó d ə n	Rթեվ+Rոտն	regular?				
17836	թիւրոտն	noun, adjective	Clubfooted, clubfoot.		թիւրոտըն	t ʏ ɾ ó d ə n	Rթիւր+Rոտն	Multi-POS				
19873	լայնոտն	noun	Platypus. (zool.) large-footed.		լայնոտըն	l ɑ j n ó d ə n	Rլայն+Rոտն	regular?				
22199	խթանոտն	noun	(թռ.) Longspur.		խըթանոտըն	χ ə t ɑ n ó d ə n	Rխիթ-ան+Rոտն	regular?				
22924	խոչոտն	noun	Obstacle, impediment, hindrance, embarrassment, stop.		խոչոտըն	χ o t͡ʃ ó d ə n	Rխոչ+Rոտն	regular?				
23801	ծալոտն	adjective	Cross-legged.		ծալոտըն	d͡z ɑ l ó d ə n	Rծալ+Rոտն	Adjective				
26344	կարծրոտն	noun	(bot.) Sclerope.		կարծրոտըն	ɡ ɑ ɾ d͡z ɾ ó d ə n	Rկարծր+Rոտն	regular?				
26443	կարճոտն	noun, adjective	Beagle, brachypodous; short-footed.		կարճոտըն	ɡ ɑ ɾ d͡ʒ ó d ə n	Rկարճ+Rոտն	Multi-POS				
26504	կարմրոտն	adjective	Red-footed.		կարմըրոտըն	ɡ ɑ ɾ m ə ɾ ó d ə n	Rկարմիր+Rոտն	Adjective				
27182	կիպրոտն	noun	(bot.) Lady's slipper.		կիպրոտըն	ɡ i b ɾ ó d ə n	Rկիպր+Rոտն	regular?				
27319	կիսոտն	noun	(թռ.) Hemipode.		կիսոտըն	ɡ i s ó d ə n	Rկէս+Rոտն	regular?				
29069	կրկնոտն	adjective	(zool.) Diplopod.		կըրկնոտըն	ɡ ə ɾ ɡ n ó d ə n	Rկրկին+Rոտն	Adjective				
31005	հարիւրոտն	noun	Centipede.		հարիւրոտըն	h ɑ ɾ ʏ ɾ ó d ə n	Rհարիւր+Rոտն	regular?				
31766	հետիոտն	adverb, noun	Pedestrian, by foot, on foot.		հետիվոտըն	h e d i v ó d ə n	Rհետի+Rոտն	Multi-POS				
31865	հերձոտն	noun, adjective	Fissiped.		հերձոտըն	h e ɾ t͡s ó d ə n	Rհերձ+Rոտն	Multi-POS				
34019	ձիոտն	adjective	Horse-footed.		ձիյոտըն	t͡s i j ó d ə n	Rձի+Rոտն	Adjective				
36271	մաշկոտն	adjective	Palmiped, fin-toed.		մաշկոտըն	m ɑ ʃ k ó d ə n	Rմաշկ+Rոտն	Adjective				
37316	մեծոտն	noun	(zool.) Macropod, large-footed. & (թռ.) Megapod.	manually merged entries	մեծոտըն	m e d͡z ó d ə n	Rմեծ+Rոտն	regular?				
37838	մերկոտն	adjective	Barefooted.		մերկոտըն	m e ɾ ɡ ó d ə n	Rմերկ+Rոտն	Adjective				
38658	միջնոտն	noun	Mesopodium.		միջնոտըն	m i t͡ʃ n ó d ə n	Rմէջ-ին+Rոտն	regular?				
41494	յօդոտն	noun	Arthropod, sondylopod.		հօդոտըն	h o t ó d ə n	Rհօդ+Rոտն	regular?				
42090	նապաստակոտն	adjective	Lagopous, lagopodous.		նապաստակոտըն	n ɑ b ɑ s t ɑ ɡ ó d ə n	Rնապաստակ+Rոտն	Adjective				
42655	ներոտն	noun	Endopodite.		ներոտըն	n e ɾ ó d ə n	Rներ+Rոտն	regular?				
43170	նոխազոտն	noun	Handspike; goat-footed.		նոխազոտըն	n o χ ɑ z ó d ə n	Rնոխազ+Rոտն	regular?				
45150	շրթնոտն	noun	Chilopod.		շըրթնոտըն	ʃ ə ɾ t n ó d ə n	Rշուրթն+Rոտն	regular?				
45738	ողջոտն	noun	(Fr.) Holopode.		ողջոտըն	v o χ t͡ʃ ó d ə n	Rողջ+Rոտն	regular?				
46605	որովայնոտն	noun	(biol.) Gastropod, purpura. & (zool.) Gastropod.	manually merged entries	որովայնոտըն	v o ɾ o v ɑ j n ó d ə n	Rորովայն+Rոտն	regular?				
46730	ութնոտն	noun	Octopod.		ութնոտըն	u t n ó d ə n	Rութն+Rոտն	regular?				
51560	սակաւոտն	adjective	Of but one feet in height.		սակավոտըն	s ɑ ɡ ɑ v ó d ə n	Rսակավ+Rոտն	Adjective				
54259	սրոտն	noun	Celeriped.		սըրոտըն	s ə ɾ ó d ə n	Rսուր+Rոտն	regular?				
55060	վատոտն	adjective	Ill-fated, unfortunate, unlucky, inauspicious.		վատոտըն	v ɑ d ó d ə n	Rվատ+Rոտն	Adjective				
55967	վեցոտն	adjective	Hexapod.		վեցոտըն	v e t͡s ó d ə n	Rվեց+Rոտն	Adjective				
56175	վիշապոտն	adjective	Dragon-footed.		վիշապոտըն	v i ʃ ɑ b ó d ə n	Rվիշապ+Rոտն	Adjective				
57015	տասնոտն	noun	Decapod.		տասնոտըն	d ɑ s n ó d ə n	Rտասն+Rոտն	regular?				
57415	տափոտն	noun	Splay footed.		տափոտըն	d ɑ p ó d ə n	Rտափ+Rոտն	regular?				
57737	տերեւոտն	noun	Phyllopod, leaf foot bug.		տերեվոտըն	d e ɾ e v ó d ə n	Rտերեվ+Rոտն	regular?				
58511	տտնոտն	noun	Unropod.		տըտնոտըն	d ə d n ó d ə n	Rտտուն+Rոտն	regular?				
58907	ցայտոտն	noun	Saltigrade.		ցայտոտըն	t͡s ɑ j d ó d ə n	Rցայտ+Rոտն	regular?				
59657	փաղոտն	noun	Phalarope.		փաղոտըն	p ɑ ʁ ó d ə n	Rփաղ+Rոտն	regular?				
59724	փայլոտն	noun	(թռ.) Phalarope.		փայլոտըն	p ɑ j l ó d ə n	Rփայլ+Rոտն	regular?				
60091	փետրոտն	noun	Plumiped.		փետրոտըն	p e d ɾ ó d ə n	Rփետուր+Rոտն	regular?				
60509	փոկոտն	adjective	Barefoot, bare-footed, web-footed.		փոկոտըն	p o ɡ ó d ə n	Rփոկ+Rոտն	Adjective				
60692	փորոտն	noun	Haemapod.		փորոտըն	p o ɾ ó d ə n	Rփոր+Rոտն	regular?				
60808	փոքրոտն	noun	(bot.) Micropodous.		փոքրոտըն	p o k ɾ ó d ə n	Rփոքր+Rոտն	regular?				
61701	քառոտն	adjective	Four footed.		քառոտըն	k ɑ ɾ ó d ə n	Rքառ+Rոտն	Adjective				
61874	քարընդոտն	noun	Stumbling-block.		քարընդոտըն	k ɑ ɾ ə n t ó d ə n	Rքար+Rընդ+Rոտն	regular?				
3263	անձնամատն	adjective	Given to, addicted, devoted.		անձնամատըն	ɑ n t͡s n ɑ m ɑ́ d ə n	Rանձն-ա+Rմատն	Adjective				
7278	բազմամատն	adjective	Multidigitate.		բազմամատըն	p ɑ z m ɑ m ɑ́ d ə n	Rբազում-ա+Rմատն	Adjective				
13335	ենթամատն	noun	Hypodactylum.		ենթամատըն	j e n t ɑ m ɑ́ d ə n	Rենթ-ա+Rմատն	Regular?				
17361	թեթեւամատն	adjective	(գող) Light-fingered.		թեթեվամատըն	t e t e v ɑ m ɑ́ d ə n	Rթեթեվ-ա+Rմատն	Adjective				
17576	թեւամատն	noun	Pterodactyl.		թեվամատըն	t e v ɑ m ɑ́ d ə n	Rթեվ-ա+Rմատն	Regular?				
19843	լայնամատն	adjective	(zool.) Platydactyl.		լայնամատըն	l ɑ j n ɑ m ɑ́ d ə n	Rլայն-ա+Rմատն	Adjective				
21201	խաժմատն	noun	The ring finger.		խաժմատըն	χ ɑ ʒ m ɑ́ d ə n	Rխաժ+Rմատն	Regular?				
31079	հարսնամատն	noun	(bot.) Four-winged pea.		հարսնամատըն	h ɑ ɾ s n ɑ m ɑ́ d ə n	Rհարսն-ա+Rմատն	Regular?				
36168	մանրամատն	noun, adjective	Leptodactyl.		մանրամատըն	m ɑ n ɾ ɑ m ɑ́ d ə n	Rմանր-ա+Rմատն	Multi-POS				
36378	մատանեմատն	noun	The ring finger.		մատանեմատըն	m ɑ d ɑ n e m ɑ́ d ə n	Rմատան-ի-ա+Rմատն	Regular?				
38170	միամատն	adjective	Monodactylous.		միյամատըն	m i j ɑ m ɑ́ d ə n	Rմի-ա+Rմատն	Adjective				
38523	միջամատն	noun	Middle finger.		միջամատըն	m i t͡ʃ ɑ m ɑ́ d ə n	Rմէջ-ա+Rմատն	Regular?				
38630	միջնամատն	noun	Middle finger.		միջնամատըն	m i t͡ʃ n ɑ m ɑ́ d ə n	Rմէջ-ին-ա+Rմատն	Regular?				
46247	ոտնամատն	noun	The great toe, hallux.		ոտնամատըն	v o d n ɑ m ɑ́ d ə n	Rոտն-ա+Rմատն	Regular?				
55158	վարդամատն	adjective	Roseate, rosy fingered.		վարդամատըն	v ɑ ɾ t ɑ m ɑ́ d ə n	Rվարդ-ա+Rմատն	Adjective				
55928	վեցամատն	adjective	Hexadactylous.		վեցամատըն	v e t͡s ɑ m ɑ́ d ə n	Rվեց-ա+Rմատն	Adjective				
59308	ցուցամատն	noun	Forefinger; indicator; index.		ցուցամատըն	t͡s u t͡s ɑ m ɑ́ d ə n	Rցույց-ա+Rմատն	Regular?				
20152	Lենինկրատ	noun	Leningrad.		լենինկրատ	l e n i ŋ ɡ ɾ ɑ́ d	Rլենինկրատ	Regular?				
20647	Lուկիոս	noun	Lucius.		լուկիյոս	l u ɡ i j ó s	Rլուկիյոս	Regular?				
20649	Lուկուլլոս	noun	Lucullus.		լուկուլլոս	l u ɡ u l l ó s	Rլուկուլլոս	Regular?				
20651	Lուկրետիոս	noun	Lucretius.		լուկրետիյոս	l u ɡ ɾ e d i j ó s	Rլուկրետիյոս	Regular?				
57461	Sելեմաք	noun	Telemachus.		տելեմաք	d e l e m ɑ́ k	Rտելեմաք	Regular?				
1	ա	interjection	Ah.	removed ՜	ա	ɑ́	Rա	None				
4	աա	interjection	Ah.	removed ՜	ա	ɑ́	Rա					
5	աբակայ	noun	Manila hemp; banana tree.		աբակա	ɑ p ɑ ɡ ɑ́	Rաբակա	Regular?				
6	աբարբի	noun	(bot.) Gum plant, euphorbium.		աբարբի	ɑ p ɑ ɾ p í	Rաբարբի	Regular?				
7	աբբահայր	noun	Abbot.		աբբահայր	ɑ p p ɑ h ɑ́ j ɾ	Rաբբա+Rհայր	Irregular -o-				
8	աբբայ	noun	Abbot, father.		աբբա	ɑ p p ɑ́	Rաբբա	Regular?				
9	աբբայական	adjective	Abbatial.		աբբայական	ɑ p p ɑ j ɑ ɡ ɑ́ n	Rաբբա-ական	Adjective				
10	աբբայարան	noun	Abbacy.		աբբայարան	ɑ p p ɑ j ɑ ɾ ɑ́ n	Rաբբա-արան	Regular?				
11	աբբայութիւն	noun	Abbacy, abbotship.		աբբայութիւն	ɑ p p ɑ j u t ʏ́ n	Rաբբա-ութիւն	Suffix utjun				
12	աբբանա	noun	High place.		աբբանա	ɑ p p ɑ n ɑ́	Rաբբանա	Regular?				
13	աբբասուհի	noun	Abbess, superioress.		աբբասուհի	ɑ p p ɑ s u h í	Rաբբաս-ուհի	Regular?				
14	աբեթ	noun	Amadou, tinder, touchwood.		աբեթ	ɑ p é t	Rաբեթ	Regular?				
15	աբելիա	noun	(bot.) Abelia.		աբելյա	ɑ p e l j ɑ́	Rաբել-յա	Regular?				
16	աբեղախոտ	noun	(bot.) French lavender, stoechas.		աբեղախոտ	ɑ p e ʁ ɑ χ ó d	Rաբեղա+Rխոտ	regular?				
17	աբեղաձագ	noun	Redwing.		աբեղաձագ	ɑ p e ʁ ɑ t͡s ɑ́ k	Rաբեղա+Rձագ	Regular?				
18	աբեղայ	noun	Monk, religious, friar.		աբեղա	ɑ p e ʁ ɑ́	Rաբեղա	Regular?				
19	աբեղայական	adjective	Monachal, monkish.		աբեղայական	ɑ p e ʁ ɑ j ɑ ɡ ɑ́ n	Rաբեղա-ական	Adjective				
20	աբեղայութիւն	noun	Monachism, monastic life.		աբեղայութիւն	ɑ p e ʁ ɑ j u t ʏ́ n	Rաբեղա-ութիւն	Suffix utjun				
21	աբեղանոց	noun	Monkery, monastery.		աբեղանոց	ɑ p e ʁ ɑ n ó t͡s	Rաբեղա-նոց	Regular?				
22	աբեղեան	noun	People of the cowl, monks.		աբեղյան	ɑ p e ʁ j ɑ́ n	Rաբեղա-յան	Regular?				
24	աբեղուկ	noun	Field-lark, crested lark. & (թռ.) Redwing.	manually merged entries	աբեղուկ	ɑ p e ʁ ú ɡ	Rաբեղուկ	Regular?				
25	աբրոմ	noun	(bot.) Abroma.		աբրոմ	ɑ p ɾ ó m	Rաբրոմ	Regular?				
26	Աբրոսիա	noun	(myth.) Ambrosia.		աբրոսիյա	ɑ p ɾ o s i j ɑ́	Rաբրոս-իյա	regular				
27	ագահ	noun, adjective	Avaricious, stingy, miser, grasping, sordid.		ագահ	ɑ k ɑ́ h	Rագահ	Multi-POS				
28	ագահաբար	adverb	Avariciously.		ագա՛հաբար	ɑ k ɑ́ h ɑ p ɑ ɾ	Rագահ-աբար	Adverb				
29	ագահամիտ	adjective	Parcimonious, stingy, avaricious.		ագահամիտ	ɑ k ɑ h ɑ m í d	Rագահ-ա+Rմիտ	Adjective				
30	ագահանալ	verb neutre	To become avaricious.		ագահանալ	ɑ k ɑ h ɑ n ɑ́ l	Rագահ-ա-ն-ա-լ		Regular	Inchoative		19
31	ագահութիւն	noun	Avarice, stinginess, tenacity.		ագահութիւն	ɑ k ɑ h u t ʏ́ n	Rագահ-ութիւն	Suffix utjun				
32	ագաղաղ	noun	same as Աքաղաղ Cock, see Աքլոր։		ագաղաղ	ɑ k ɑ ʁ ɑ́ ʁ	Rագաղաղ	Regular?				
33	ագան	adjective	Early rising, diligent.		ագան	ɑ k ɑ́ n	Rագան	Adjective				
34	ագանելի	adjective	Wearable.		ագանելի	ɑ k ɑ n e l í	Rագան-ե-լ-ի	Adjective				
35	ագանելիք	noun	Dress, garment, clothes, garb, attire.		ագանելիք	ɑ k ɑ n e l í k	Rագան-ե-լ-ի-ք	Regular?				
36	ագանիլ	verb reflected	see Հագնիլ։		ագանիլ	ɑ k ɑ n í l	Rագան-ի-լ		Regular	I-Class	Basic	3
37	ագապ	noun	Agape, love-feasts.		ագապ	ɑ k ɑ́ b	Rագապ	Regular?				
38	ագատ	noun, adjective	Colure, cropped, curtailed, bob-tailed, tailless.		ագատ	ɑ k ɑ́ d	Rագատ	Multi-POS				
39	ագատի	noun	(bot.) Blue daisy.		ագատի	ɑ k ɑ d í	Rագատի	Regular?				
40	ագարակ	noun	Farm, field, ground, country.		ագարակ	ɑ k ɑ ɾ ɑ́ ɡ	Rագարակ	Regular?				
41	ագարակաբան	noun	Agrologist.		ագարակաբան	ɑ k ɑ ɾ ɑ ɡ ɑ p ɑ́ n	Rագարակ-ա+Rբան	Regular?				
42	ագարակաբանութիւն	noun	Agrology; agronomy.		ագարակաբանութիւն	ɑ k ɑ ɾ ɑ ɡ ɑ p ɑ n u t ʏ́ n	Rագարակ-ա+Rբան-ութիւն	Suffix utjun				
43	ագարակաբաշխ	noun	Agriculturist.		ագարակաբաշխ	ɑ k ɑ ɾ ɑ ɡ ɑ p ɑ́ ʃ χ	Rագարակ-ա+Rբաշխ	Regular?				
44	ագարակագէտ	noun	Agriculturist.		ագարակագէտ	ɑ k ɑ ɾ ɑ ɡ ɑ k é d	Rագարակ-ա+Rգէտ	Regular?				
45	ագարակագիտական	adjective	Agricultural.		ագարակագիտական	ɑ k ɑ ɾ ɑ ɡ ɑ k i d ɑ ɡ ɑ́ n	Rագարակ-ա+Rգէտ-ական	Adjective				
46	ագարակագիտութիւն	noun	Agronomy, agronomics.		ագարակագիտութիւն	ɑ k ɑ ɾ ɑ ɡ ɑ k i d u t ʏ́ n	Rագարակ-ա+Rգէտ-ութիւն	Suffix utjun				
47	ագարակային	adjective	Agrarian, rural, rustic.		ագարակային	ɑ k ɑ ɾ ɑ ɡ ɑ j í n	Rագարակ-ային	Adjective				
48	ագարակապան	noun	Farmer.		ագարակապան	ɑ k ɑ ɾ ɑ ɡ ɑ b ɑ́ n	Rագարակ-ա+Rպան	Regular?				
49	ագարակիկ	noun	Small farm.		ագարակիկ	ɑ k ɑ ɾ ɑ ɡ í ɡ	Rագարակ-իկ	Regular?				
50	ագարիկոն	noun	(bot.) Agaric, fungus laricis.		ագարիկոն	ɑ k ɑ ɾ i ɡ ó n	Rագարիկոն	Regular?				
51	ագաւենի	noun	(bot.) Agave, century plant.		ագավենի	ɑ k ɑ v e n í	Rագավ-ենի	Regular?				
52	ագեկալ	noun	Cruper.		ագեկալ	ɑ k e ɡ ɑ́ l	Rագի-ա+Rկալ	Regular?				
53	ագեվազ	noun	Kangaroo.		ագեվազ	ɑ k e v ɑ́ z	Rագի-ա+Rվազ	Regular?				
54	ագետակ	noun	Silver side, the under part of the tail.		ագետակ	ɑ k e d ɑ́ ɡ	Rագի-ա+Rտակ	Regular?				
55	ագետէգ	noun	An ancient type of Turkish standard.		ագետէգ	ɑ k e d é k	Rագետէգ	Regular?				
56	ագեւոր	adjective	Tailed.		ագեվոր	ɑ k e v ó ɾ	Rագի-ավոր	Adjective				
57	ագի	noun	Tail.		ագի	ɑ k í	Rագի	Regular?				
58	ագոյց	noun	Ring, link, lever, bar, enchasing, jointing. Scarf-joint.		ագույց	ɑ k ú j t͡s	Rագույց	Regular?				
59	ագոն	noun	Combat, fight, battle, contest, wrestling, agon.		ագոն	ɑ k ó n	Rագոն	Regular?				
60	ագոնադիր	noun	Agonothete.		ագոնադիր	ɑ k o n ɑ t í ɾ	Rագոն-ա+Rդիր	Regular?				
61	ագոնարար	noun	Athlete; wrestler.		ագոնարար	ɑ k o n ɑ ɾ ɑ́ ɾ	Rագոն-արար	Regular?				
62	ագոռանք	noun	Excrement, ordure, dirt, filth, dunghill.		ագոռանք	ɑ k o ɾ ɑ́ ŋ k	Rագոռ-անք	regular?				
63	ագուգայ	noun	Draintile, aqueduct, conduit, canal.		ագուգա	ɑ k u k ɑ́	Rագուգա	Regular?				
64	ագուռ	noun	Palm. see Աղիւս։		ագուռ	ɑ k ú ɾ	Rագուռ	Regular?				
65	ագուցանել	verb active	To fit in, to joint, to enchase, to lodge.		ագուցանել	ɑ k u t͡s ɑ n é l	Rագույց-ան-ե-լ		Archaic			11
66	ագուցիկ	noun	Enchaser, rabbet-joint; enchased; rebated joint.		ագուցիկ	ɑ k u t͡s í ɡ	Rագույց-իկ	Regular?				
67	ագուցիչ	noun, adjective	Inserted, set in, enchased, fitter.		ագուցիչ	ɑ k u t͡s í t͡ʃ	Rագույց-իչ	Multi-POS				
68	ագուցում	noun	Enchasing, jointing, socket, fitting.		ագուցում	ɑ k u t͡s ú m	Rագույց-ում	Potential -um suffix				
69	ագռ	noun	Lees, dregs.		ագըռ	ɑ́ k ə ɾ	Rագռ	Regular?				
70	ագռաւ	noun	Crow, raven.		ագրավ	ɑ k ɾ ɑ́ v	Rագրավ	Regular?				
71	ագռաւակտուց	noun	(anat.) Coracoid.		ագռավակըտուց	ɑ k ɾ ɑ v ɑ ɡ ə d ú t͡s	Rագռավ-ա+Rկտուց	Regular?				
72	ագռաւաձուկ	noun	Coracine.		ագռավաձուկ	ɑ k ɾ ɑ v ɑ t͡s ú ɡ	Rագռավ-ա+Rձուկ	Irregular ner				
73	ագռաւուկ	noun	Grapple, hook, picklock, crotchet.		ագռավուկ	ɑ k ɾ ɑ v ú ɡ	Rագռավ-ուկ	Regular?				
74	ագռմէջ	noun	Groin, the groin.		ագըռմէջ	ɑ k ə ɾ m é t͡ʃ	Rագռ+Rմէջ	Regular?				
75	ագրի	noun	(zool.) (Fr.) Agrie.		ագրի	ɑ k ɾ í	Rագրի	Regular?				
76	ագրխոտուկ	noun	(bot.) Bird grass.		ագըրխոտուկ	ɑ k ə ɾ χ o d ú ɡ	Rագր+Rխոտ-ուկ	Regular?				
77	ագցան	noun	same as Աքցան։		ագցան	ɑ k t͡s ɑ́ n	Rագցան	Regular?				
78	ադ	adjective	That.		ադ	ɑ́ t	Rադ	Adjective				
79	ադագ	noun	Alidad.		ադագ	ɑ t ɑ́ k	Rադագ	Regular?				
80	ադամաթզենի	noun	Banana tree.		ադամաթըզենի	ɑ t ɑ m ɑ t ə z e n í	Rադամ-ա+Rթուզ-ենի	Regular?				
81	ադամաթուզ	noun	Banana-fig.		ադամաթուզ	ɑ t ɑ m ɑ t ú z	Rադամ-ա+Rթուզ	Regular?				
82	ադամամութ	noun	Darkness, gloom.		ադամամութ	ɑ t ɑ m ɑ m ú t	Rադամ-ա+Rմութ	Regular?				
83	ադամանդ	noun	Diamond.		ադամանդ	ɑ t ɑ m ɑ́ n t	Rադամանդ	Regular?				
84	ադամանդալուիճ	noun	Diamond beetle.		ադամանդալըվիճ	ɑ t ɑ m ɑ n t ɑ l ə v í d͡ʒ	Rադամանդ-ա+Rլու-իճ	Regular?				
85	ադամանդեայ	adjective	Set with diamonds, diamond-encrusted.		ադամանդյա	ɑ t ɑ m ɑ n t j ɑ́	Rադամանդ-յա	Adjective				
86	ադամանդեան	adjective	Set with diamonds, diamond-encrusted.		ադամանդյան	ɑ t ɑ m ɑ n t j ɑ́ n	Rադամանդ-յան	Adjective				
87	Ադեն	noun	Paradise, Eden.		ադեն	ɑ t é n	Rադեն	Regular?				
88	ադենային	adjective	Edenic.		ադենային	ɑ t e n ɑ j í n	Rադեն-ային	Adjective				
89	Ադին	noun	Paradise, Eden.		ադին	ɑ t í n	Rադին	Regular?				
90	ադլանտեան	adjective	Atlantic.		ադլանտյան	ɑ t l ɑ n d j ɑ́ n	Rադլանտ-յան	Adjective				
91	ազազիլ	verb neutre	To dry up, to become dry.		ազազիլ	ɑ z ɑ z í l	Rազազ-ի-լ		Regular	I-Class	Basic	3
92	ազազուն	adjective	Desiccated, dried up, arid, dry, wasted away.		ազազուն	ɑ z ɑ z ú n	Rազազ-ուն	Adjective				
93	ազապ	adjective	same as Ամուրի։		ազապ	ɑ z ɑ́ b	Rազապ	Adjective				
94	ազատ	adjective	Free, independent, redeemed.		ազատ	ɑ z ɑ́ d	Rազատ	Adjective				
95	ազատաբար	adverb	Boldly, impudently, without restraint.		ազա՛տաբար	ɑ z ɑ́ d ɑ p ɑ ɾ	Rազատ-աբար	Adverb				
96	ազատաբարոյ	adjective	Noble, honest, liberal, frank, ingenuous.		ազատաբարո	ɑ z ɑ d ɑ p ɑ ɾ ó	Rազատ-ա+Rբարո	Adjective				
97	ազատաբերան	adverb	Frankly, openly, sincerely, plainly.		ազատաբերան	ɑ z ɑ d ɑ p e ɾ ɑ́ n	Rազատ-ա+Rբերան	Adverb				
98	ազատագիր	noun	Freedman, freedwoman.		ազատագիր	ɑ z ɑ d ɑ k í ɾ	Rազատ-ա+Rգիր	Regular?				
99	ազատագրել	verb active	To emancipate, to set free.		ազատագրել	ɑ z ɑ d ɑ k ɾ é l	Rազատ-ա+Rգիր-ե-լ		Regular	E-Class		1
100	ազատագրութիւն	noun	Manumission, emancipation.		ազատագրութիւն	ɑ z ɑ d ɑ k ɾ u t ʏ́ n	Rազատ-ա+Rգիր-ութիւն	Suffix utjun				
101	ազատադէմ	adverb	Daringly, boldly, impudently.		ազատադէմ	ɑ z ɑ d ɑ t é m	Rազատ-ա+Rդէմ	Adverb				
102	ազատադրախտ	noun	(bot.) Bead tree, persian lilac.		ազատադըրախտ	ɑ z ɑ d ɑ t ə ɾ ɑ́ χ t	Rազատ-ա+Rդրախտ	Regular?				
103	ազատազարմ	adjective	Noble, gentleman.		ազատազարմ	ɑ z ɑ d ɑ z ɑ́ ɾ m	Rազատ-ա-Pզ+Rարմ	Adjective				
104	ազատազգի	noun, adjective	Gentleman, noble.		ազատազգի	ɑ z ɑ d ɑ s k í	Rազատ+Rազգ-ի	Multi-POS				
105	ազատախոհ	adjective	Freethinker.		ազատախոհ	ɑ z ɑ d ɑ χ ó h	Rազատ-ա+Rխոհ	Adjective				
106	ազատածին	adjective	Freeborn, ingenuous.		ազատածին	ɑ z ɑ d ɑ d͡z í n	Rազատ-ա+Rծին	Adjective				
107	ազատածնութիւն	noun	Ingenuousness.		ազատածընութիւն	ɑ z ɑ d ɑ d͡z ə n u t ʏ́ n	Rազատ-ա+Rծին-ութիւն	Suffix utjun				
108	ազատակամ	adjective	Free will.		ազատակամ	ɑ z ɑ d ɑ ɡ ɑ́ m	Rազատ-ա+Rկամ	Adjective				
109	ազատական	adjective	Liberal, generous.		ազատական	ɑ z ɑ d ɑ ɡ ɑ́ n	Rազատ-ական	Adjective				
110	ազատականութիւն	noun	Liberalism.		ազատականութիւն	ɑ z ɑ d ɑ ɡ ɑ n u t ʏ́ n	Rազատ-ական-ութիւն	Suffix utjun				
111	ազատաղաց	noun	Communal mill.		ազատաղաց	ɑ z ɑ d ɑ ʁ ɑ́ t͡s	Rազատ+Rաղ-ա-ց	Regular?				
112	ազատամայր	noun	Noble mother.		ազատամայր	ɑ z ɑ d ɑ m ɑ́ j ɾ	Rազատ-ա+Rմայր	Irregular -o-				
113	ազատամիտ	adjective	Liberal, freedom-loving. & see Ազատասէր։	manually merged entries	ազատամիտ	ɑ z ɑ d ɑ m í d	Rազատ-ա+Rմիտ	Regular?				
115	ազատանի	noun	Gentility, nobility.		ազատանի	ɑ z ɑ d ɑ n í	Rազատ-անի	Regular?				
116	ազատանց	noun	Safe-conduct.		ազատանց	ɑ z ɑ d ɑ́ n t͡s	Rազատ+Rանց	Regular?				
117	ազատասէր	adjective	Liberal, freedom-loving.		ազատասէր	ɑ z ɑ d ɑ s é ɾ	Rազատ-ա+Rսէր	Adjective				
