index	headword	pos	definition	notes:bookkeeping	Transcription:Armenian	Transcription	UR	Declension class	Verb Regularity	Regular category	Subclass	Class number
51854	սապատող	noun, adjective	Hunchback, hunchbacked, humpbacked, crookbacked.		սապատող		Rսապատ-ող	Multi-POS				
51855	սապէս	adverb	So, such, like this, in this manner, in such a manner.		սապէս		Rսա+Rպէս	Adverb				
51856	սապղար	adjective	Crippled, impotent.		սապղար		Rսապղար	Adjective				
51857	սապոն	noun	Soap.		սապոն		Rսապոն	Regular?				
51858	սապոնել	verb active	To wash, to wash with soap, to lather.		սապոնել		Rսապոն-ե-լ		Regular	E-Class		2
51859	սապոնում	noun	Soaping, washing with soap.		սապոնում		Rսապոն-ում	Potential -um suffix				
51860	սապոտի	noun	Nase berry.		սապոտի		Rսապոտ-ի	Regular?				
51861	սապռ	noun	(bot.) Aloe.		սապըռ		Rսապռ	Regular?				
51862	սապտուկ	noun	(bot.) Meadow saffron.		սապտուկ		Rսապտուկ	Regular?				
51863	Սապփով	noun	Sappho.		սապփով		Rսապփով	Regular?				
51864	սապփովեան	adjective	Sapphic.		սապփովյան		Rսապփով-յան	Adjective				
51865	սառ	noun	Ice.		սառ		Rսառ	Regular?				
51866	սառախարիսխ	noun	Ice anchor.		սառախարիսխ		Rսառ-ա+Rխարիսխ	Regular?				
51867	սառած	adjective	Frozen, iced.		սառած		Rսառ-ած	Adjective				
51868	սառածութիւն	noun	Congealedness.		սառածութիւն		Rսառ-ած-ութիւն	Suffix utjun				
51869	սառահալք	noun	Debacle, the breaking up of ice.		սառահալք		Rսառ-ա+Rհալ-ք	Regular?				
51870	սառանաւ	noun	Ice-boat.		սառանավ		Rսառ-ա+Rնավ	Regular?				
51871	սառավէժ	noun	Ice fall.		սառավէժ		Rսառ-ա+Rվէժ	Regular?				
51872	սառատուփ	noun	Refrigerator.		սառատուփ		Rսառ-ա+Rտուփ	Regular?				
51873	սառեցնել	verb active	To freeze, to ice, to chill, to congeal.		սառեցընել		Rսառ-ե-ցն-ե-լ		Regular	Causative	Basic	10
51874	սառեցուցիչ	adjective	Freezing, icy, chilling.		սառեցուցիչ		Rսառ-ե-ցու-ց-իչ	Adjective				
51875	սառիլ	verb neutre	To freeze, to chill, to congeal.		սառիլ		Rսառ-ի-լ		Regular	I-Class	Basic	4
51876	սառն	noun	see Սառ։		սառըն		Rսառն	Regular?				
51877	սառնաբեկ	noun	Ice breaker.		սառնաբեկ		Rսառն-ա+Rբեկ	Regular?				
